location_id,state_id,county_id
539,4,1
540,4,3
541,4,5
542,4,7
543,4,9
544,4,11
545,4,12
546,4,13
547,4,15
548,4,17
549,4,19
550,4,21
551,4,23
552,4,25
553,4,27
1,6,1
2,6,3
3,6,5
4,6,7
5,6,9
6,6,11
7,6,13
8,6,15
9,6,17
10,6,19
11,6,21
12,6,23
13,6,25
14,6,27
15,6,29
16,6,31
17,6,33
18,6,35
19,6,37
20,6,39
21,6,41
22,6,43
23,6,45
24,6,47
25,6,49
26,6,51
27,6,53
28,6,55
29,6,57
30,6,59
31,6,61
32,6,63
33,6,65
34,6,67
35,6,69
36,6,71
37,6,73
38,6,75
39,6,77
40,6,79
41,6,81
42,6,83
43,6,85
44,6,87
45,6,89
46,6,91
47,6,93
48,6,95
49,6,97
50,6,99
51,6,101
52,6,103
53,6,105
54,6,107
55,6,109
56,6,111
57,6,113
58,6,115
472,12,1
473,12,3
474,12,5
475,12,7
476,12,9
477,12,11
478,12,13
479,12,15
480,12,17
481,12,19
482,12,21
483,12,23
484,12,27
485,12,29
486,12,31
487,12,33
488,12,35
489,12,37
490,12,39
491,12,41
492,12,43
493,12,45
494,12,47
495,12,49
496,12,51
497,12,53
498,12,55
499,12,57
500,12,59
501,12,61
502,12,63
503,12,65
504,12,67
505,12,69
506,12,71
507,12,73
508,12,75
509,12,77
510,12,79
511,12,81
512,12,83
513,12,85
514,12,86
515,12,87
516,12,89
517,12,91
518,12,93
519,12,95
520,12,97
521,12,99
522,12,101
523,12,103
524,12,105
525,12,107
526,12,109
527,12,111
528,12,113
529,12,115
530,12,117
531,12,119
532,12,121
533,12,123
534,12,125
535,12,127
536,12,129
537,12,131
538,12,133
313,13,1
314,13,3
315,13,5
316,13,7
317,13,9
318,13,11
319,13,13
320,13,15
321,13,17
322,13,19
323,13,21
324,13,23
325,13,25
326,13,27
327,13,29
328,13,31
329,13,33
330,13,35
331,13,37
332,13,39
333,13,43
334,13,45
335,13,47
336,13,49
337,13,51
338,13,53
339,13,55
340,13,57
341,13,59
342,13,61
343,13,63
344,13,65
345,13,67
346,13,69
347,13,71
348,13,73
349,13,75
350,13,77
351,13,79
352,13,81
353,13,83
354,13,85
355,13,87
356,13,89
357,13,91
358,13,93
359,13,95
360,13,97
361,13,99
362,13,101
363,13,103
364,13,105
365,13,107
366,13,109
367,13,111
368,13,113
369,13,115
370,13,117
371,13,119
372,13,121
373,13,123
374,13,125
375,13,127
376,13,129
377,13,131
378,13,133
379,13,135
380,13,137
381,13,139
382,13,141
383,13,143
384,13,145
385,13,147
386,13,149
387,13,151
388,13,153
389,13,155
390,13,157
391,13,159
392,13,161
393,13,163
394,13,165
395,13,167
396,13,169
397,13,171
398,13,173
399,13,175
400,13,177
401,13,179
402,13,181
403,13,183
404,13,185
405,13,187
406,13,189
407,13,191
